replied_to,like_count,hashtags,tweet_id,created_at,reply_count,retweet_count,retweeted,quoted,mentions,text,author_id,quote_count,_ts
,,,1603748611896283137,2022-12-16T13:47:19.000000000+00:00,,,,,,"Jack Sweeney was not posting Public information

Sweeney was posting the private information of @elonmusk and he knew

Elon had a ""PIA"" which seeks to protect the privacy of entities using private aircraft.

source: https://t.co/KV5rYldsTY https://t.co/9qnmMoaNyo",27000730,,1671254823041
,,,1603788349482749962,2022-12-16T16:25:14.000000000+00:00,,,,,,"For a deeper conversation about this important issue, listen to today's episode of @thehonestlypod with @RoKhanna: 
https://t.co/R1VSC8p66A",289548939,,1671254823044
,,,1603562924806737920,2022-12-16T01:29:28.000000000+00:00,,,,,,Ben Collins is doing a running thread of Twitter suspensions like he's working for Radio Free Europe reporting on Soviet purges.,19217369,,1671254823047
,,,1603586080657260545,2022-12-16T03:01:29.000000000+00:00,,,,,,Millions of podcast minutes will be spent discussing this tomorrow.,19217369,,1671254823050
,,,1603559208124809217,2022-12-16T01:14:42.000000000+00:00,,,,,,Watch Aaron Rupar talk about his time being suspended like he's Nelson Mandela.,19217369,,1671254823052
,,,1603644570679803904,2022-12-16T06:53:54.000000000+00:00,,,,,,"the mainstream media can't stop talking about @twitter drama because it fuels the clickbait model

at the same time its giving @twitter more attention, press and power than ever. disruption is accelerating",348844712,,1671254823056
,,,1603637443357421569,2022-12-16T06:25:35.000000000+00:00,,,,,,"If someone created a Twitter account called “JasonsCar” and tweeted every fucking corner I turned, resulting in some masked psychopath attacking my vehicle with my family inside, you’re goddamn right that account should be blasted. Public flight trackers mean nothing to me.",298274977,,1671254823059
,,,1603614494306865152,2022-12-16T04:54:23.000000000+00:00,,,,,,"Fascinating to watch people being manipulated by rage in realtime. Reminder, you are the product! :)",14749070,,1671254823061
,,,1603626368956145664,2022-12-16T05:41:34.000000000+00:00,,,,,,BREAKING: @ElonMusk just hopped on Spaces with a group of journalists and informed them the same doxxing rules apply to them and they aren’t special https://t.co/SaYFWxZVpJ,592730371,,1671254823065
,,,1603648965656084480,2022-12-16T07:11:22.000000000+00:00,,,,,,Hey @elonmusk what’s going on with Twitter Spaces? It’s glitching and won’t allow ppl in rooms. @verified @twitterspaces,1348000099,,1671254823067
,,,1603576729955622912,2022-12-16T02:24:20.000000000+00:00,,,,,,@elonmusk https://t.co/PF3GI2HJRG,105852422,,1671254823070
,,,1603644091744518145,2022-12-16T06:52:00.000000000+00:00,,,,,,"I hope that Twitter becomes a place for civil debates between people on the left and the right.

Many folks will mock this idea. But I refuse to accept cynicism. I think social media, when done well, can be a great place for high-quality, entertaining, good-faith debates.",427089628,,1671254823073
,,,1603646057480478726,2022-12-16T06:59:49.000000000+00:00,,,,,,"Amazing to see the mainstream media suddenly so anti-censorship.

@elonmusk is a magician.",97054224,,1671254823076
,,,1603643774810214400,2022-12-16T06:50:44.000000000+00:00,,,,,,@elonmusk @alx When fsd beta v11? Still before Christmas,1016059981907386368,,1671254823079
,,,1603611892047646721,2022-12-16T04:44:03.000000000+00:00,,,,,,"BREAKING: CNN is going to “reevaluate” their “relationship with Twitter” after the suspension of “journalists”.

It’s really something to see corporate media do a complete 180 on Censorship 😂 https://t.co/TUEJyLX5MJ",534023,,1671254823082
,,,1603622391917162496,2022-12-16T05:25:46.000000000+00:00,,,,,,This is the Elon / Twitter marketing plan — a new drama every week,1263491240336769026,,1671254823085
,,,1603637403079655424,2022-12-16T06:25:25.000000000+00:00,,,,,,"@elonmusk @jason_kint Elon Musk's mentions keep growing and growing. Twitter is now THE social network: 

https://t.co/wpUXJlD43y",1133456036,,1671254823088
,,,1603557011114889216,2022-12-16T01:05:58.000000000+00:00,,,,,,"I don’t know what happened here but if @elonmusk doesn’t fix this within the hour with an explanation by morning, I’ll be on Capitol Hill tomorrow demanding that he be hauled in front of Congress. https://t.co/8oTmLkbdzZ",75209239,,1671254823091
,,,1603461094202167297,2022-12-15T18:44:50.000000000+00:00,,,,,,"O Canada, welcome to Community Notes! 🇨🇦 We’re now admitting contributors from Canada. Want to help? Sign up here: https://t.co/FSsqNz6e9r",1319036828964454402,,1671254823094
,,,1603631535659237377,2022-12-16T06:02:06.000000000+00:00,,,,,,A warm welcome to all the newest converts to the great American cause of free speech!,5943622,,1671254823096
,,,1603612238199148544,2022-12-16T04:45:25.000000000+00:00,,,,,,"The new Twitter rule about not sharing live location seems perfectly reasonable. If you read the policy on sharing private info, it’s easy to follow. 

However in the name of free speech ElonJet should be allowed to return if they delay, and journalists if they delete the tweets. https://t.co/X1hySKqVYr https://t.co/BVnrevxrz8",1263491240336769026,,1671254823100
,,,1603423456795557893,2022-12-15T16:15:16.000000000+00:00,,,,,,"Immigration is America’s superpower.

This should be a huge concern for US policymakers: https://t.co/JSGm7tfAVP",48111864,,1671254823103
,,,1603614578382110720,2022-12-16T04:54:43.000000000+00:00,,,,,,"Regardless of the outcome of the poll, I think we can all agree that watching the melts at the MSM have a complete meltdown is very entertaining. Twitter is grand.",16106584,,1671254823106
,,,1603605552289849345,2022-12-16T04:18:51.000000000+00:00,,,,,,"You’re a public figure. An extremely controversial and powerful one.

I get feeling unsafe, but descending into abuse of power + erratically banning journalists only increases the intensity around you.

Take a beat and lay off the proto-fascism. Maybe try putting down your phone. https://t.co/BniyYUqWMY",138203134,,1671254823109
,,,1603603758201442304,2022-12-16T04:11:44.000000000+00:00,,,,,,"Elon’s content moderation decisions so far:
- no swastikas 
- no continuous real-time doxxing

What’s the problem?",1137701,,1671254823112
,,,1603605220407136257,2022-12-16T04:17:32.000000000+00:00,,,,,,"@elonmusk Every “journalist”’crying about Ruper being suspended for doxxing Elon, should tweet out their own home address. 

I mean if its no big deal…",479953114,,1671254823114
,,,1603610008226340864,2022-12-16T04:36:34.000000000+00:00,,,,,,"@elonmusk doxx populi, doxx dei https://t.co/4WmziabNzp",49024508,,1671254823118
,,,1603567325214838785,2022-12-16T01:46:57.000000000+00:00,,,,,,https://t.co/UWOB29eLjr,5943622,,1671254823126
,,,1603595276165550082,2022-12-16T03:38:01.000000000+00:00,,,,,,"@elonmusk @IFNY2775 @micsolana Does this include @JxckSweeney, @ElonJet, etc?

Also what are your thoughts on displaying the following on actioned accounts?: 

1. Time period of suspension 
2. The policy violation

Would clear up a lot of questions to public &amp; increase transparency. https://t.co/sCG0n4S6Cu",534023,,1671254823129
,,,1603590760984563719,2022-12-16T03:20:05.000000000+00:00,,,,,,"@elonmusk @IFNY2775 @micsolana I keep asking them to be free speech warriors and give me their locations to put on Twitter, but they won’t. https://t.co/wXOTrvUJv4",37190937,,1671254823131
,,,1603567541997051904,2022-12-16T01:47:49.000000000+00:00,,,,,,"Having been on the receiving end of @keitholbermann's tweet mobs more than once, I can't say I'm going to miss him. But I don't like seeing anyone get suspended, so I hope this isn't permanent. https://t.co/dChUvP7DXB",77015676,,1671254823137
,,,1603573899744235521,2022-12-16T02:13:05.000000000+00:00,,,,,,@micsolana Meltdown!!!! https://t.co/7kBQ6mzEft,1573580502,,1671254823143
,,,1603570995490455552,2022-12-16T02:01:32.000000000+00:00,,,,,,"so far, i’ve been able to confirm about half the accounts suspended posted links to the jet tracker thing in violation of the new doxx’ing policy. unclear just yet about the rest, but i think it’s safe to say the rule is for real. https://t.co/hrRn3ZR2iL https://t.co/8MDCG19kNO",18989355,,1671254823146
,,,1603512288966746130,2022-12-15T22:08:16.000000000+00:00,,,,,,"Tesla Electric lets Powerwall owners generate, use &amp; export sustainable power to run their homes https://t.co/JHZ48NSwUS",13298072,,1671254823149
,,,1603512255672225792,2022-12-15T22:08:08.000000000+00:00,,,,,,"Introducing Tesla Electric, the electricity plan that offers low-cost clean energy for homes with Powerwall—starting in Texas → https://t.co/qpvfUgTvft https://t.co/g34QhN8xZR",13298072,,1671254823152
,,,1598849289165602818,2022-12-03T01:19:10.000000000+00:00,,,,,,". @elonmusk I hope you are surrounded by massive security and in an extremely safe undisclosed location - you just became public enemy number one to some very very bad people, I pray for your safety and thank you for your bravery! We need more @elonmusk in our society!!!",3303293865,,1671254823155
,,,1603519571192946689,2022-12-15T22:37:12.000000000+00:00,,,,,,".@elonmusk and @JeffBezos are currently competing in rockets, media, electric + autonomous vehicles and brain machine interfaces",81961201,,1671254823158
,,,1603488658085945344,2022-12-15T20:34:22.000000000+00:00,,,,,,Ship 24 completes a single-engine static fire test at Starbase in Texas https://t.co/gF9beLcarX,34743251,,1671254823161
,,,1603478891728887822,2022-12-15T19:55:33.000000000+00:00,,,,,,"Giga Texas hits 3k Model Y builds/week. 

Congrats, Tesla team! 🤘 https://t.co/uhG03gFyba",13298072,,1671254823164
,,,1603454190432288770,2022-12-15T18:17:24.000000000+00:00,,,,,,Machine learning is just statistics. On steroids. Lots and lots of steroids.,1720046887,,1671254823167
,,,1603397243306115072,2022-12-15T14:31:07.000000000+00:00,,,,,,"“We should look at currencies from an information theory standpoint.

Whichever has least error &amp; latency will win.”

| @elonmusk",1495956968640421893,,1671254823170
,,,1603454719850315776,2022-12-15T18:19:30.000000000+00:00,,,,,,@elonmusk @MrAndyNgo Would you consider setting up a dedicated task force at Twitter to deal with violent extremists like Antifa?,16106584,,1671254823173
,,,1603453381355487234,2022-12-15T18:14:11.000000000+00:00,,,,,,"5 arrested at the #Antifa autonomous zone in south Atlanta hit w/domestic terrorism charges. Police found a cache of explosives. Leading up to the raid, militants tried to burn a man to death in a car. Their group is using Twitter to raise cash, @elonmusk. https://t.co/U4eGsdWJ8W",2835451658,,1671254823176
,,,1603225428231069696,2022-12-15T03:08:23.000000000+00:00,,,,,,"We're now targeting no earlier than 6:46am ET (1146 UTC) on Friday, Dec. 16, for launch of the Surface Water and Ocean Topography mission. The satellite is healthy &amp; the forecast remains favorable for liftoff on Friday morning. Follow https://t.co/4JtEJu7bET for mission updates. https://t.co/mI3IoGJ7VE",11348282,,1671254823179
,,,1603103156530921472,2022-12-14T19:02:31.000000000+00:00,,,,,,"Starlink will provide high-speed internet to the @MuscowpetungRez in Saskatchewan, Canada starting next year https://t.co/KyPghQMEZa",34743251,,1671254823182
,,,1603245884451434499,2022-12-15T04:29:40.000000000+00:00,,,,,,"I REPEAT, Elon needs the absolute strongest, toughest security that a human on Earth can get. 

This is no joke. 

@elonmusk https://t.co/obs93QmFgn",985243593538338816,,1671254823185
,,,1603138444691111936,2022-12-14T21:22:44.000000000+00:00,,,,,,Government Warns That With Elon Owning Twitter They Will Only Control 97% Of The Media https://t.co/9aKa37vrfP,4914384040,,1671254823188
,,,1603236292858355712,2022-12-15T03:51:33.000000000+00:00,,,,,,@elonmusk Whoa is this the guy that jumped in the hood? 🤬🤬🤬,778623,,1671254823191
,,,1603190155107794944,2022-12-15T00:48:13.000000000+00:00,,,,,,"Last night, car carrying lil X in LA was followed by crazy stalker (thinking it was me), who later blocked car from moving &amp; climbed onto hood.

Legal action is being taken against Sweeney &amp; organizations who supported harm to my family.",44196397,,1671254823194
